序号,股票代码,股票名称,所属行业,数据来源,缓存命中,数据日期,收盘价,MA5,MA20,站上MA5,站上MA20,MA5高于MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,MACD_DIF,MACD_DEA,MACD柱,MACD多头,MACD空头,MACD金叉,MACD死叉,最近MACD金叉日期,最近MACD金叉距今交易日数,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",KDJ金叉,KDJ死叉,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,当日成交量,5日均量,量比,放量,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,收盘日内位置（%）,收盘位于日内高位,60日最高价,触及60日高点压力,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线
1,000001,平安银行,J 金融业,腾讯前复权日K回退（成交额、换手率已提供）,True,2026-07-28,11.2,11.094,10.7075,True,True,True,True,11.18,0.17889087656529135,True,66.43871440949637,0.1521694678737635,0.08994428671204857,0.12445036232342988,True,False,False,False,2026-07-08,14.0,87.18311092852035,79.08428456732209,103.38076365091686,False,False,,,False,1061011.0,1195685.8,0.8873660622213628,False,1185514900.0,0.55,2155.481636363636,0.8100810081008047,1.0801080108010892,4.599579733831424,8.333333333334567,91.66666666666544,True,11.25,True,True,False,False,True,False
2,000002,万 科Ａ,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,True,2026-07-28,3.15,3.1420000000000003,3.0955000000000004,True,True,True,True,3.26,-3.3742331288343523,False,50.97027138848067,-0.009352698175371543,-0.027259414474724894,0.0358134325987067,True,False,False,False,,,14.054582647654257,13.588767196261822,14.986213550439128,False,False,2026-07-27,1.0,True,911545.0,1225741.4,0.7436682810909382,False,286213800.0,0.94,304.4827659574468,0.6389776357827559,1.9169329073482444,1.7606202552091599,16.666666666667037,83.33333333333296,True,4.16,False,False,False,False,False,False
3,000006,深振业Ａ,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,True,2026-07-28,6.43,6.176,6.5875,True,False,False,True,7.65,-15.94771241830066,False,41.791918045243534,-0.45305881515385504,-0.5135249552100427,0.12093228011237533,True,False,False,False,2026-07-27,1.0,11.073246842789265,8.09630354885959,17.027133430648615,False,False,2026-07-21,5.0,True,330306.0,219115.8,1.507449485614456,False,214268900.0,2.45,87.45669387755102,1.4195583596214423,6.309148264984232,-2.39089184060722,47.50000000000006,34.999999999999886,False,11.25,False,True,False,False,True,False
4,000007,全新好,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,True,2026-07-28,9.0,9.192,10.3895,False,False,False,True,13.5,-33.33333333333333,False,29.825187321923394,-0.9383006276471662,-0.8864753505562994,-0.10365055418173341,False,True,False,False,,,9.856424951219804,8.846561572707111,11.876151708245189,False,False,2026-07-21,5.0,True,69906.0,94804.8,0.7373677282162928,False,63821000.0,2.02,31.594554455445543,-3.3297529538131143,4.618689581095593,-13.374079599595746,51.162790697674595,6.976744186046367,False,17.79,False,True,False,False,True,False
5,000008,神州高铁,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,True,2026-07-28,2.35,2.312,2.3535,True,False,False,True,2.86,-17.832167832167826,False,46.675852175795086,-0.05070545936149262,-0.05429189755598605,0.007172876388986851,True,False,True,False,,,10.621955188125169,10.562460815913814,10.740943932547875,True,False,2026-07-28,0.0,True,325456.0,275097.4,1.183057346234461,False,76529700.0,1.2,63.77475,1.7316017316017396,3.89610389610389,-0.1487146802634305,33.33333333333317,66.66666666666683,False,2.87,False,False,False,False,False,False
6,000009,中国宝安,J 金融业,腾讯前复权日K回退（成交额、换手率已提供）,True,2026-07-28,6.29,6.192,6.186,True,True,True,True,6.52,-3.527607361963183,False,46.99490706913796,-0.15890813999958375,-0.22272691990772953,0.12763755981629155,True,False,False,False,2026-07-03,17.0,8.087249710153174,6.666977617074383,10.927793896310755,False,False,2026-07-27,1.0,True,221303.0,271905.8,0.8138958418687648,False,138177400.0,0.86,160.6713953488372,0.6399999999999961,1.5999999999999945,1.6812156482379583,0.0,100.0,True,9.32,False,False,False,False,False,False
7,000010,*ST美丽,E 建筑业,腾讯前复权日K回退（成交额、换手率已提供）,True,2026-07-28,1.49,1.472,1.6790000000000003,True,False,False,True,1.96,-23.97959183673469,False,36.2183847515416,-0.15546217903933068,-0.15334677314870432,-0.00423081178125273,False,True,False,False,,,2.1844912077025147,2.1498183095358065,2.2538370040359315,True,False,2026-07-28,0.0,True,205270.0,210127.4,0.9768835477905309,False,30747900.0,2.35,13.084212765957446,1.3605442176870763,6.122448979591842,-11.256700416914846,55.55555555555556,44.44444444444444,False,3.04,False,False,False,False,True,False
8,000011,深物业A,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,True,2026-07-28,7.55,7.659999999999999,6.797,False,True,True,True,9.09,-16.941694169416945,False,58.323238664216206,0.18493743959903242,-0.0126828720260145,0.39524062325009385,True,False,False,False,2026-07-15,9.0,46.82667501013653,37.55128424416831,65.37745654207298,False,False,2026-07-15,9.0,True,460288.0,215824.6,2.132694790121237,True,356757000.0,8.74,40.818878718535466,-7.361963190184051,11.656441717791402,11.07841694865382,1.0526315789473468,22.10526315789475,False,9.09,False,False,False,False,False,True
9,000012,南 玻Ａ,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,True,2026-07-28,3.82,3.786,4.125500000000001,True,False,False,False,5.41,-29.390018484288362,False,41.616075076107165,-0.18049765282157892,-0.15552556642726076,-0.04994417278863633,False,True,False,False,,,11.421508187795794,12.103908929487654,10.056706704412075,False,False,,,False,207800.0,298238.2,0.6967584970671095,False,79129900.0,1.06,74.65084905660376,-0.26109660574412663,1.044386422976502,-7.405163010544194,25.000000000000554,74.99999999999945,True,5.41,False,False,False,False,False,False
10,000014,沙河股份,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,True,2026-07-28,9.68,9.065999999999999,9.1385,True,True,False,True,10.12,-4.347826086956517,False,53.75902666048302,-0.22123667387213786,-0.33274306444579604,0.22301278114731637,True,False,False,False,2026-07-02,18.0,12.03487537456462,8.765235147885422,18.57415582792302,False,False,2026-07-27,1.0,True,112772.0,91199.4,1.2365432228720803,False,109169700.0,4.66,23.42697424892704,3.3084311632870955,4.589114194236924,5.925480111615683,44.18604651162782,55.81395348837218,False,13.42,False,False,False,False,True,False
