序号,股票代码,股票名称,所属行业,数据来源,缓存命中,数据日期,收盘价,MA5,MA20,站上MA5,站上MA20,MA5高于MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,MACD_DIF,MACD_DEA,MACD柱,MACD多头,MACD空头,MACD金叉,MACD死叉,最近MACD金叉日期,最近MACD金叉距今交易日数,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",KDJ金叉,KDJ死叉,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,当日成交量,5日均量,量比,放量,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,收盘日内位置（%）,收盘位于日内高位,60日最高价,触及60日高点压力,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线
1,000001,平安银行,J 金融业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-30,11.61,11.26,10.83,True,True,True,True,11.36,2.200704225352113,True,74.85845001507042,0.2061984314273122,0.12580775934512628,0.16078134416437184,True,False,False,False,2026-07-08,16.0,92.80145786645933,85.97326470750723,106.45784418436355,False,False,,,False,2777708.0,1153179.4,2.4087388310960116,True,3194072400.0,1.43,2233.617062937063,2.92553191489362,3.900709219858152,7.202216066481988,2.272727272727227,97.72727272727278,True,11.36,True,False,False,False,False,False
2,000002,万 科Ａ,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-30,3.33,3.1919999999999997,3.1189999999999998,True,True,True,True,3.31,0.6042296072507558,True,60.63098993380249,0.01819309559080251,-0.01318605204517738,0.06275829527195978,True,False,False,False,,,22.503251781612516,17.418431541585893,32.67289226166576,False,False,2026-07-27,3.0,True,2118666.0,1286825.0,1.6464290016124958,False,708739100.0,2.18,325.10967889908255,1.5243902439024515,4.268292682926833,6.764988778454644,49.99999999999984,50.000000000000156,False,4.16,False,False,False,False,False,False
3,000006,深振业Ａ,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-30,6.37,6.34,6.4875,True,False,False,True,7.58,-15.963060686015831,False,41.178549654099236,-0.3762730077915428,-0.468917574385617,0.18528913318814833,True,False,False,False,2026-07-27,3.0,13.21068466376721,10.857371285524996,17.91731142025164,False,False,2026-07-21,7.0,True,222568.0,247512.2,0.8992203212609318,False,143913500.0,1.65,87.22030303030304,-2.1505376344086002,4.147465437788026,-1.8111753371868937,59.25925925925921,11.111111111111184,False,11.25,False,False,False,False,False,False
4,000007,全新好,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-30,8.71,9.104,10.0685,False,False,False,False,13.5,-35.481481481481474,False,29.139554476309968,-0.9109708359409385,-0.8949388880233958,-0.0320638958350854,False,True,False,False,,,8.645271393486304,9.049860664241672,7.836092851975568,False,True,,,False,75239.0,76694.0,0.9810285028815814,False,67022100.0,2.17,30.885760368663597,-4.912663755458513,5.676855895196502,-13.492575855390568,5.769230769230651,7.692307692307876,False,17.79,False,False,False,False,True,False
5,000008,神州高铁,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-30,2.35,2.332,2.3520000000000003,True,False,False,True,2.86,-17.832167832167826,False,46.76442934367904,-0.04065656129416828,-0.04999078309591814,0.018668443603499715,True,False,False,False,2026-07-28,2.0,12.02467627654179,11.312276486518961,13.449475856587448,False,False,2026-07-28,2.0,True,282883.0,258932.6,1.0924966574313162,False,66796100.0,1.04,64.22701923076923,-0.8438818565400852,2.531645569620255,-0.08503401360545168,50.00000000000037,33.33333333333333,False,2.87,False,False,False,False,True,False
6,000009,中国宝安,J 金融业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-30,7.15,6.453999999999999,6.2415,True,True,True,True,6.59,8.497723823975727,True,68.45908479706715,-0.041291947806398,-0.1704492115972671,0.2583145275817382,True,False,False,False,2026-07-03,19.0,19.326879910625863,11.848998818158401,34.28264209556079,False,False,2026-07-27,3.0,True,562050.0,269877.6,2.0826107835552117,True,390363900.0,2.18,179.06600917431192,10.000000000000009,10.769230769230772,14.555795882400066,0.0,100.0,True,8.83,False,False,False,False,False,True
7,000010,*ST美丽,E 建筑业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-30,1.51,1.486,1.6470000000000002,True,False,False,False,1.96,-22.959183673469386,False,37.83667551426117,-0.14127324128452812,-0.15007658117845238,0.017606679787848523,True,False,False,False,2026-07-29,1.0,2.8614322452101373,2.498253853349852,3.5877890289307075,False,False,2026-07-28,2.0,True,190836.0,187068.4,1.0201402267833584,False,29124600.0,2.19,13.29890410958904,-0.6578947368421018,5.263157894736847,-8.318154219793577,50.0,25.0,False,2.86,False,False,False,False,True,False
8,000011,深物业A,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-30,7.99,7.953999999999999,6.9315,True,True,True,True,9.09,-12.101210121012098,False,63.81187224059128,0.2544371387556801,0.07760206311537744,0.3536701512806053,True,False,False,False,2026-07-15,11.0,54.068823868848206,45.8243075027958,70.55785660095303,False,False,,,False,327880.0,363034.2,0.9031655970704688,False,262751200.0,6.23,42.175152487961476,2.1739130434782705,9.846547314578,15.270864892158992,46.75324675324671,53.2467532467533,False,9.09,False,False,False,False,True,False
9,000012,南 玻Ａ,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-30,3.93,3.844,4.0055,True,False,False,True,5.13,-23.391812865497073,False,45.47755237550668,-0.15198697464344502,-0.15663946849212984,0.009304987697369649,True,False,True,False,,,14.836815180153332,13.244942517462258,18.02056050553548,False,False,2026-07-29,1.0,True,274754.0,233987.2,1.1742266243623583,False,107928000.0,1.4,77.09142857142858,0.7692307692307665,2.3076923076923155,-1.8849082511546489,44.444444444444336,55.55555555555567,False,5.41,False,False,False,False,False,False
10,000014,沙河股份,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-30,9.98,9.562,9.2045,True,True,True,True,10.2,-2.156862745098028,False,57.29574784157384,-0.07399015067088222,-0.2500061216823692,0.35203194202297394,True,False,False,False,2026-07-02,20.0,18.001894724488505,13.372357837613906,27.2609684982377,False,False,2026-07-27,3.0,True,127346.0,96645.6,1.3176595727068794,False,129687900.00000001,5.26,24.65549429657795,-0.10010010010009784,5.805805805805806,8.425226791243425,86.20689655172413,10.34482758620698,False,13.32,False,True,False,False,True,False
