序号,股票代码,股票名称,所属行业,数据来源,缓存命中,数据日期,收盘价,MA5,MA20,站上MA5,站上MA20,MA5高于MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,MACD_DIF,MACD_DEA,MACD柱,MACD多头,MACD空头,MACD金叉,MACD死叉,最近MACD金叉日期,最近MACD金叉距今交易日数,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",KDJ金叉,KDJ死叉,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,当日成交量,5日均量,量比,放量,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,收盘日内位置（%）,收盘位于日内高位,60日最高价,触及60日高点压力,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线
1,000001,平安银行,J 金融业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-29,11.28,11.154,10.763499999999999,True,True,True,True,11.21,0.6244424620874086,True,68.38313638510408,0.16878085280762534,0.1057096295062542,0.12614244660274226,True,False,False,False,2026-07-08,15.0,89.5089352661184,82.55916813158063,103.40846953519394,False,False,,,False,1511054.0,1056865.4,1.429750656990001,False,1705864000.0,0.78,2187.005128205128,0.7142857142857117,1.6071428571428545,4.798624982580022,44.44444444444456,55.55555555555544,False,11.25,True,True,False,False,False,False
2,000002,万 科Ａ,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-29,3.28,3.1599999999999997,3.1055,True,True,True,True,3.26,0.6134969325153381,True,58.22159824573843,0.003881923733460635,-0.021029299559730288,0.049822446586381845,True,False,False,False,,,17.450529846099034,14.87602141676202,22.599546704773065,False,False,2026-07-27,2.0,True,2413626.0,1131244.4,2.1336026061211886,True,782087100.0000001,2.48,315.35770161290327,4.1269841269841345,5.396825396825395,5.619062952825621,17.647058823529566,82.35294117647044,True,4.16,False,False,False,False,False,False
3,000006,深振业Ａ,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-29,6.51,6.294,6.536500000000001,True,False,False,True,7.65,-14.901960784313733,False,43.63680185550357,-0.40634086480087284,-0.4920857972486268,0.17148986489550788,True,False,False,False,2026-07-27,2.0,12.84953669590242,9.680714597958838,19.187180891789584,False,False,2026-07-21,6.0,True,282322.0,224226.4,1.2590934876535502,False,181134300.0,2.09,86.66712918660288,1.244167962674969,4.354587869362368,-0.40541574236978956,7.142857142857302,92.85714285714269,True,11.25,False,False,False,False,False,False
4,000007,全新好,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-29,9.16,9.216,10.233,False,False,False,True,13.5,-32.148148148148145,False,32.46444080126905,-0.9086578144782749,-0.8909248974056505,-0.03546583414524873,False,True,False,False,,,10.063342775058073,9.25215530336653,11.685717718441158,False,False,2026-07-21,6.0,True,99290.0,76683.4,1.2948043513980863,False,91560200.0,2.87,31.902508710801392,1.7777777777777892,5.444444444444447,-10.485683572754816,57.14285714285698,42.85714285714301,False,17.79,False,False,False,False,True,False
5,000008,神州高铁,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-29,2.37,2.33,2.3515,True,True,False,True,2.86,-17.132867132867126,False,48.26339568084232,-0.04446102978285538,-0.05232572400135933,0.015729388437007913,True,False,False,False,2026-07-28,1.0,11.74330812089542,10.95607658714763,13.317771188391003,False,False,2026-07-28,1.0,True,275227.0,263614.2,1.0440522551516571,False,65368300.0,1.01,64.72108910891089,0.8510638297872353,2.1276595744680775,0.7867318732723776,59.99999999999982,40.00000000000018,False,2.87,False,False,False,False,True,False
6,000009,中国宝安,J 金融业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-29,6.5,6.272,6.1975,True,True,True,True,6.52,-0.3067484662576622,False,54.188121170505795,-0.12281882477196415,-0.20274222209166926,0.1598467946394102,True,False,False,False,2026-07-03,18.0,10.996219570902221,8.110058270864155,16.768542170978357,False,False,2026-07-27,2.0,True,362048.0,242004.4,1.496038914994934,False,234132800.0,1.41,166.05163120567377,3.338632750397452,5.246422893481719,4.881000403388467,27.272727272727227,72.72727272727278,True,9.01,False,False,False,False,False,False
7,000010,*ST美丽,E 建筑业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-29,1.52,1.4899999999999998,1.6655000000000002,True,False,False,True,1.96,-22.448979591836732,False,38.27543333669845,-0.1480049142270965,-0.15227803190971806,0.008546235365243127,True,False,True,False,,,2.650357322736894,2.3166646511744227,3.3177426658618367,False,False,2026-07-28,1.0,True,172782.0,189963.8,0.909552241005918,False,26077700.0,1.98,13.170555555555556,2.0134228187919545,4.697986577181212,-8.736115280696497,28.57142857142857,71.42857142857143,True,2.89,False,False,False,False,True,False
8,000011,深物业A,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-29,7.82,7.858,6.857000000000001,False,True,True,True,9.09,-13.971397139713968,False,61.77722107348934,0.21769226337096192,0.03339129299249718,0.3686019407569295,True,False,False,False,2026-07-15,10.0,50.00357944560068,41.702049313914635,66.60663970897276,False,False,2026-07-15,10.0,True,430349.0,290605.4,1.4808706238769134,False,334241500.0,8.17,40.910832313341494,3.576158940397356,10.596026490066235,14.04404258422049,28.750000000000025,71.24999999999997,True,9.09,False,False,False,False,False,False
9,000012,南 玻Ａ,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-29,3.9,3.8200000000000003,4.058999999999999,True,False,False,True,5.41,-27.91127541589649,False,44.42012394777529,-0.166919622550318,-0.15780289983319806,-0.01823344543423988,False,True,False,False,,,13.139200670508842,12.449006180461538,14.51958965060345,True,False,2026-07-29,0.0,True,284968.0,253090.4,1.1259534142741092,False,110360900.0,1.45,76.11096551724138,2.0942408376963373,3.141361256544505,-3.9172209903917072,25.000000000000185,74.99999999999982,True,5.41,False,False,False,False,False,False
10,000014,沙河股份,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-07-29,9.99,9.346,9.1725,True,True,True,True,10.12,-1.2845849802371445,False,57.45352481211403,-0.139116799254408,-0.2940141168608261,0.30979463521283623,True,False,False,False,2026-07-02,19.0,15.642297868883348,11.057589390821702,24.811714825006643,False,False,2026-07-27,2.0,True,128764.0,87174.6,1.4770816269876774,False,128463700.00000001,5.32,24.14731203007519,3.2024793388429895,6.095041322314048,8.91251022076861,35.5932203389829,64.4067796610171,False,13.4,False,False,False,False,True,False
