评分排名,股票代码,股票名称,所属行业,得分,序号,满足条件,未满足条件（扣分项）,数据日期,收盘价,MA5,MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",最近MACD金叉日期,最近MACD金叉距今交易日数,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,量比,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线,收盘日内位置（%）,收盘位于日内高位,60日最高价,数据来源
1,000657,中钨高新,C 制造业,8.5,193,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,62.5,53.928,59.40350000000001,True,80.11,-21.982274372737486,False,49.30526328853645,16.094346883122693,12.77631500977189,22.730410629824295,,,2026-08-05,1.0,True,2.4831775340988496,10522454700.0,11.8,891.7334491525422,8.82813860351732,6.442625805328231,5.212655819943255,18.10810810810814,False,False,False,False,True,81.89189189189186,True,113.76,腾讯前复权日K回退（成交额、换手率已提供）
2,002842,翔鹭钨业,C 制造业,8.5,1309,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,36.98,32.424,32.4855,True,38.88,-4.886831275720179,False,55.921714638303754,25.288388494327165,18.790244294978752,38.28467689302399,2026-08-05,1.0,2026-08-04,2.0,True,2.3573011537196673,2664112300.0,27.39,97.26587440671777,7.002314814814792,7.552083333333331,13.835403487709886,34.48275862068988,False,False,False,False,True,65.51724137931012,False,54.44,腾讯前复权日K回退（成交额、换手率已提供）
3,001267,汇绿生态,C 制造业,8.5,456,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,38.81,33.025999999999996,34.427,True,47.07,-17.548332271085613,False,52.30101568335872,16.686172122159878,11.05884443499933,27.940827496480978,2026-08-04,2.0,2026-08-04,2.0,True,2.314792542471743,2778782000.0,12.21,227.58247338247338,10.005668934240376,9.807256235827666,12.731286490254751,0.0,False,False,False,False,True,100.0,True,69.72,腾讯前复权日K回退（成交额、换手率已提供）
4,002378,章源钨业,C 制造业,8.5,889,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,26.37,23.95,23.814,True,28.83,-8.532778355879284,False,52.71331096421715,20.711167531195926,15.04511139769165,32.04327979820448,2026-08-03,3.0,2026-08-03,3.0,True,2.2856342966649406,2325946700.0,7.45,312.207610738255,4.601348671162242,5.8310194367314505,10.733182161753595,42.85714285714282,False,False,False,True,False,57.142857142857174,False,40.68,腾讯前复权日K回退（成交额、换手率已提供）
5,002935,天奥电子,C 制造业,8.5,1393,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,16.73,15.88,16.0495,True,22.33,-25.078369905956105,False,47.829237016699615,23.01448861260974,18.666320409559138,31.710825018710942,2026-08-03,3.0,2026-07-31,4.0,True,2.076276827049653,187035400.0,2.71,69.01675276752768,4.627892432770486,10.00625390869292,4.240007476868452,41.87499999999994,True,False,False,False,False,58.12500000000006,False,24.1,腾讯前复权日K回退（成交额、换手率已提供）
6,000962,东方钽业,C 制造业,8.5,387,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,53.86,47.796,51.290499999999994,True,68.88,-21.806039488966313,False,49.79264868888287,16.879325683235518,13.237447102898448,24.163082843909653,2026-08-05,1.0,2026-08-05,1.0,True,2.0062589054251694,2740716000.0,10.16,269.7555118110236,4.319194266899085,7.456904900251795,5.009699651982346,47.79220779220786,False,False,False,True,True,52.20779220779214,False,96.24,腾讯前复权日K回退（成交额、换手率已提供）
7,002628,成都路桥,E 建筑业,8.5,1118,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,4.9,4.609999999999999,4.679,True,5.43,-9.760589318600358,False,54.86404141700799,16.358419620515704,11.87828757616933,25.318683709208454,2026-08-05,1.0,2026-08-04,2.0,True,1.6978009452572371,142169100.0,3.99,35.631353383458645,6.060606060606055,7.575757575757567,4.723231459713616,5.714285714285598,False,False,False,False,False,94.2857142857144,True,6.47,腾讯前复权日K回退（成交额、换手率已提供）
8,002549,凯美特气,N 公共环保,8.5,1044,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,14.47,13.592000000000002,13.973499999999998,True,17.94,-19.342251950947606,False,48.28277537781467,17.11869137924725,13.717873703456144,23.920326730829455,2026-08-04,2.0,2026-08-04,2.0,True,1.6846973895067094,723702500.0,7.34,98.59707084468664,3.2833690221270473,6.138472519628833,3.5531541847067873,17.441860465116125,False,False,False,False,False,82.55813953488388,True,22.68,腾讯前复权日K回退（成交额、换手率已提供）
9,002796,世嘉科技,C 制造业,8.5,1267,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,29.18,26.506,27.927,True,35.0,-16.62857142857143,False,46.99319419651815,10.57302233033239,7.98577633622505,15.74751431854707,2026-08-03,3.0,2026-08-04,2.0,True,1.679012088623299,555089900.0,8.5,65.30469411764706,4.813218390804597,8.333333333333334,4.486697461238228,12.499999999999961,False,False,False,False,True,87.50000000000003,True,59.41,腾讯前复权日K回退（成交额、换手率已提供）
10,002579,中京电子,C 制造业,7.5,1074,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）；换手率5.2-7%（-1分）,2026-08-06,13.93,12.058,12.8195,True,19.41,-28.232869654817105,False,50.84259002258159,19.214256468529364,14.372243213671666,28.898282978244758,2026-08-05,1.0,2026-08-05,1.0,True,3.482092111974956,2294047600.0,28.69,79.95983269431856,7.318952234206466,6.317411402157166,8.66258434416319,31.707317073170692,False,False,False,False,True,68.2926829268293,False,23.4,腾讯前复权日K回退（成交额、换手率已提供）
