序号,股票代码,股票名称,所属行业,数据来源,缓存命中,数据日期,收盘价,MA5,MA20,站上MA5,站上MA20,MA5高于MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,MACD_DIF,MACD_DEA,MACD柱,MACD多头,MACD空头,MACD金叉,MACD死叉,最近MACD金叉日期,最近MACD金叉距今交易日数,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",KDJ金叉,KDJ死叉,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,当日成交量,5日均量,量比,放量,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,收盘日内位置（%）,收盘位于日内高位,60日最高价,触及60日高点压力,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线
1303,002836,新宏泽,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,9.78,9.296000000000001,8.866499999999998,True,True,True,True,9.49,3.055848261327704,True,60.92693506640724,-0.1063813225035215,-0.3079205008380072,0.4030783566689714,True,False,False,False,2026-07-27,8.0,23.668691540482957,18.558680526964746,33.88871356751938,False,False,2026-07-23,10.0,True,48692.0,30669.6,1.5876307483632002,False,47000200.00000001,2.11,22.27497630331754,3.711558854718988,5.832449628844123,10.302825241075972,21.81818181818197,78.18181818181803,True,12.82,False,False,False,False,True,False
1304,002837,英维克,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,52.93,49.718,58.4055,True,False,False,True,78.5,-32.57324840764331,False,40.1734326545124,-5.718472380615118,-5.383932342999239,-0.6690800752317578,False,True,False,False,,,10.548723118655467,9.116354839584455,13.41345967679749,True,False,2026-08-06,0.0,True,400237.0,482657.4,0.8292362242866265,False,2103992100.0,3.54,594.3480508474577,1.1465698452130635,5.847506210586652,-9.37497324738253,29.411764705882355,70.58823529411765,True,89.69,False,False,False,False,False,False
1305,002838,道恩股份,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,25.92,25.59,27.941000000000003,True,False,False,True,34.88,-25.688073394495415,False,40.90579437110601,-1.768939193892379,-1.758670130968321,-0.020538125848116096,False,True,False,False,,,12.92234540364688,15.241856040675605,8.283324129589428,False,False,,,False,86602.0,70188.6,1.2338470919778994,False,224681000.0,2.06,109.06844660194174,-1.6318785578747663,3.225806451612895,-7.233098314305145,62.35294117647045,37.64705882352954,False,38.21,False,True,False,False,True,False
1306,002839,张家港行,J 金融业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,4.41,4.522,4.3815,False,True,True,False,4.66,-5.36480686695279,False,53.380016465199866,0.0847734768278885,0.07993266305030018,0.009681627555176625,True,False,False,False,,,77.13889932913737,78.97829531077865,73.46010736585484,False,True,,,False,322329.0,377359.6,0.8541693387421442,False,141918400.0,1.32,107.51393939393938,-1.1210762331838486,2.4663677130044714,0.6504621704895628,9.090909090908944,45.454545454545524,False,4.66,False,False,False,False,False,False
1307,002840,华统股份,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,8.26,8.088,7.677499999999999,True,True,True,True,8.37,-1.3142174432496945,False,58.134190353819484,0.02056352404597206,-0.11813443386777976,0.27739591582750367,True,False,False,False,,,16.047006001845087,12.98272115902744,22.17557568748038,False,False,2026-07-29,6.0,True,193575.0,213767.6,0.9055394737088315,False,159704700.0,2.43,65.7220987654321,-0.8403361344537896,4.561824729891966,7.58710517746663,39.47368421052633,42.10526315789469,False,11.26,False,False,False,False,False,False
1308,002841,视源股份,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,50.03,47.214000000000006,47.306,True,True,False,True,55.98,-10.628795998570912,False,64.55770728876502,1.6224025046850414,1.704342750219284,-0.16388049106848523,False,True,False,False,,,66.50813653231904,61.00902627104335,77.50635705487042,False,False,,,False,147705.0,140546.4,1.050934068748826,False,732974100.0,2.83,259.0014487632509,2.0395676116663264,5.608810932082398,5.758254766837196,22.54545454545445,77.45454545454554,True,55.98,False,False,False,False,False,False
1309,002842,翔鹭钨业,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,36.98,32.424,32.4855,True,True,False,True,38.88,-4.886831275720179,False,55.921714638303754,-1.635933588249614,-2.3801435433791887,1.4884199102591493,True,False,False,False,2026-08-05,1.0,25.288388494327165,18.790244294978752,38.28467689302399,False,False,2026-08-04,2.0,True,735436.0,311982.2,2.3573011537196673,True,2664112300.0,27.39,97.26587440671777,7.002314814814792,7.552083333333331,13.835403487709886,34.48275862068988,65.51724137931012,False,54.44,False,False,False,False,False,True
1310,002843,泰嘉股份,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,16.36,15.744,17.731,True,False,False,True,24.19,-32.36874741628773,False,38.87989696082193,-1.5772404410653742,-1.5945784138467387,0.034675945562729016,True,False,True,False,,,10.177317945765958,8.9189019476881,12.694149941921676,False,False,2026-08-05,1.0,True,83926.0,115812.2,0.7246732209559961,False,136330300.0,3.35,40.695611940298505,0.5531653349723387,3.3804548248309816,-7.732220404940511,25.454545454545524,74.54545454545448,True,29.93,False,False,False,False,False,False
1311,002845,同兴达,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,12.74,12.412,12.935999999999998,True,False,False,True,17.5,-27.199999999999996,False,43.930560995723006,-0.6891343784509569,-0.7953288646350435,0.2123889723681731,True,False,False,False,2026-08-05,1.0,19.774454089287214,16.826246097645186,25.67087007257127,False,False,2026-08-04,2.0,True,86379.0,85123.2,1.0147527348595917,False,109718000.0,3.45,31.80231884057971,0.7114624505928813,2.7667984189723294,-1.5151515151514996,31.4285714285713,68.57142857142871,False,17.5,False,False,False,False,False,False
1312,002846,英联股份,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,10.61,10.592,9.834999999999999,True,True,True,False,11.1,-4.414414414414416,False,53.7135977104268,-0.07734441198991426,-0.30562958359122017,0.4565703432026118,True,False,False,False,2026-07-23,10.0,19.3077677354262,17.005584410347623,23.912134385583357,False,False,2026-07-23,10.0,True,114549.0,200036.8,0.5726396343072875,False,121931700.0,4.4,27.71175,-0.7483629560336769,3.5547240411599534,7.880020335536354,57.89473684210511,36.84210526315767,False,15.06,False,True,False,False,False,False
