评分排名,股票代码,股票名称,所属行业,得分,序号,满足条件,未满足条件（扣分项）,数据日期,收盘价,MA5,MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",最近MACD金叉日期,最近MACD金叉距今交易日数,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,量比,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线,收盘日内位置（%）,收盘位于日内高位,60日最高价,数据来源
1,002553,南方精工,C 制造业,9.5,1047,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",无,2026-07-31,15.76,14.962,14.982,True,17.87,-11.80749860100728,False,52.378026832441726,10.819705913441167,7.786407316369233,16.886303107585036,2026-07-23,6.0,2026-07-27,4.0,True,2.200259328168009,215691400.0,5.39,40.0169573283859,5.066666666666664,5.800000000000007,5.192898144439998,25.287356321839127,False,False,False,True,False,74.71264367816087,True,23.48,腾讯前复权日K回退（成交额、换手率已提供）
2,002624,完美世界,I 信息技术,9.5,1113,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",无,2026-07-31,10.97,10.347999999999999,10.709,True,12.5,-12.239999999999995,False,48.38425380412342,7.690774878842425,5.33252082677206,12.407282982983153,2026-07-29,2.0,2026-07-28,3.0,True,1.5496391856998326,1148939900.0,5.81,197.7521342512909,6.401551891367596,9.40834141610088,2.4372023531609024,18.556701030927794,True,True,False,False,False,81.4432989690722,True,17.67,腾讯前复权日K回退（成交额、换手率已提供）
3,002044,美年健康,Q 卫生,8.5,573,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）,2026-07-31,4.78,4.546,4.507,True,5.1,-6.274509803921557,False,52.66554393274734,13.431628633037127,10.242900508700515,19.809084881710348,2026-07-17,10.0,2026-07-29,2.0,True,3.1315342772804433,1077006700.0,5.83,184.7352830188679,6.222222222222218,10.444444444444459,6.057244286665201,34.04255319148935,True,False,False,False,False,65.95744680851065,False,6.72,腾讯前复权日K回退（成交额、换手率已提供）
4,002712,思美传媒,L 商务服务,8.5,1194,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）",2026-07-31,4.7,4.401999999999999,4.252,True,4.8,-2.083333333333326,False,61.44187184289052,24.53604017204488,17.39386797074936,38.82038457463593,2026-07-08,17.0,2026-07-28,3.0,True,2.466832483946094,189103800.0,7.49,25.24750333778371,5.381165919282527,12.10762331838565,10.536218250235194,38.88888888888888,False,False,False,True,False,61.111111111111114,False,5.91,腾讯前复权日K回退（成交额、换手率已提供）
5,002657,中科金财,I 信息技术,8.5,1146,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7.9%（-1分）,2026-07-31,15.79,14.634,14.9755,True,21.7,-27.235023041474655,False,47.88862186960233,16.96778534889445,11.627445025527967,27.648465995627408,2026-07-29,2.0,2026-07-27,4.0,True,2.3392139943413284,529367900.0,10.18,52.000776031434185,5.056553559547572,7.85096473719228,5.438883509732555,16.10169491525435,False,False,False,True,False,83.89830508474564,True,23.98,腾讯前复权日K回退（成交额、换手率已提供）
6,002488,金固股份,C 制造业,8.5,989,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7.9%（-1分）,2026-07-31,9.1,8.654,8.791,True,9.77,-6.857727737973388,False,51.36721729138096,14.566850666294455,13.347646272765914,17.005259453351535,2026-07-20,9.0,2026-07-31,0.0,True,2.2923115134339227,412423000.0,5.04,81.82996031746032,8.076009501187652,9.619952494061764,3.514958480263898,19.753086419753092,False,False,False,False,True,80.2469135802469,True,13.24,腾讯前复权日K回退（成交额、换手率已提供）
7,000681,视觉中国,I 信息技术,8.5,207,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7.9%（-1分）,2026-07-31,17.96,16.876,17.165,True,19.99,-10.155077538769373,False,50.27726624320625,16.50996569289768,11.37456906134507,26.7807589560029,2026-07-28,3.0,2026-07-28,3.0,True,2.268441243087722,1189532900.0,9.87,120.5200506585613,7.287933094384713,10.573476702508959,4.631517623070211,25.423728813559286,False,False,False,False,False,74.5762711864407,True,25.46,腾讯前复权日K回退（成交额、换手率已提供）
8,002659,凯文教育,P 教育,8.5,1148,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）",2026-07-31,4.62,4.18,3.966500000000001,True,4.42,4.524886877828059,True,70.61354734739146,34.5771661782157,24.24507503759699,55.24134845945312,,,2026-07-27,4.0,True,2.218398000915628,179565300.0,6.79,26.44555228276878,10.000000000000009,11.190476190476184,16.475482163116077,0.0,False,False,False,True,True,100.0,True,5.45,腾讯前复权日K回退（成交额、换手率已提供）
9,002065,东华软件,I 信息技术,8.5,594,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7.9%（-1分）,2026-07-31,7.24,6.9319999999999995,6.921499999999999,True,7.31,-0.9575923392612777,False,56.22298544984661,19.825425437071658,14.826871662052463,29.822532987110048,2026-07-08,17.0,2026-07-28,3.0,True,2.2111029506334137,640441100.0,3.06,209.294477124183,5.232558139534893,5.668604651162786,4.601603698620258,25.64102564102557,True,False,False,True,False,74.35897435897442,True,8.98,腾讯前复权日K回退（成交额、换手率已提供）
10,002315,焦点科技,I 信息技术,8.5,829,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）",2026-07-31,26.89,25.511999999999997,24.276500000000002,True,26.45,1.6635160680529348,True,63.33603960177429,31.56331558787708,25.81145433488436,43.06703809386252,,,2026-07-27,4.0,True,2.149273554512577,513850199.99999994,7.29,70.48699588477365,4.0634674922600755,7.817337461300308,10.765555166519054,30.198019801980173,False,False,False,False,False,69.80198019801982,False,33.72,腾讯前复权日K回退（成交额、换手率已提供）
