评分排名,股票代码,股票名称,所属行业,得分,序号,满足条件,未满足条件（扣分项）,数据日期,收盘价,MA5,MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",最近MACD金叉日期,最近MACD金叉距今交易日数,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,量比,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线,收盘日内位置（%）,收盘位于日内高位,60日最高价,数据来源
20,002488,金固股份,C 制造业,7.5,989,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元",换手率5.2-7%（-1分）；涨幅3.2-10.1%（-1分）,2026-08-04,9.07,8.9,8.7555,True,9.65,-6.010362694300519,False,50.76351445334105,18.410663787979498,15.920348800883964,23.391293762170562,2026-07-20,11.0,2026-07-31,2.0,True,1.4773113611727284,373286300.0,4.41,84.64541950113379,-1.3057671381936808,5.767138193688785,3.592027868197141,13.20754716981139,False,False,False,False,True,15.094339622641542,False,13.24,腾讯前复权日K回退（成交额、换手率已提供）
21,002015,协鑫能科,D 水电煤气,7.5,545,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7%",放量（量比1.4-2.7）（-1分）；涨幅3.2-10.1%（-1分）,2026-08-04,16.1,14.943999999999999,14.509500000000003,True,16.89,-4.677323860272345,False,54.2037260886308,18.42102930659293,14.703945129776178,25.85519766022644,2026-07-21,10.0,2026-07-31,2.0,True,1.321316676496498,1576595700.0,6.08,259.30850328947366,2.8097062579821364,3.8314176245210705,10.961783658982036,19.999999999999584,False,False,False,False,True,80.00000000000041,True,25.53,腾讯前复权日K回退（成交额、换手率已提供）
22,000818,航锦科技,C 制造业,7.5,297,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7%",放量（量比1.4-2.7）（-1分）；涨幅3.2-10.1%（-1分）,2026-08-04,13.62,12.815999999999999,12.913,True,16.95,-19.646017699115045,False,54.05402120313126,13.54610032115383,10.004814397725633,20.628672168010223,2026-08-03,1.0,2026-07-31,2.0,True,1.3078312972026875,462966800.0,5.2,89.03207692307691,1.6417910447761086,3.134328358208954,5.475102609773089,19.04761904761907,False,False,False,True,False,80.95238095238093,True,18.67,腾讯前复权日K回退（成交额、换手率已提供）
23,000681,视觉中国,I 信息技术,7.5,207,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）；换手率5.2-7%（-1分）,2026-08-04,18.77,17.686,17.179000000000002,True,19.17,-2.0865936358894213,False,55.613302385958555,24.824639170771803,17.81028533279982,38.85334684671577,2026-07-28,5.0,2026-07-28,5.0,True,1.2346162215190342,989631100.0,7.92,124.95342171717172,3.7589828634604805,3.703703703703713,9.261307410210124,1.4925373134330653,False,False,False,True,False,98.50746268656694,True,25.46,腾讯前复权日K回退（成交额、换手率已提供）
24,002779,中坚科技,C 制造业,7.5,1252,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）；换手率5.2-7%（-1分）,2026-08-04,67.64,59.8,63.220000000000006,True,80.85,-16.338899196042046,False,53.57156855356319,15.582213219828086,9.461915839967409,27.82280797954944,2026-08-03,1.0,2026-08-03,1.0,True,1.227936262000243,208216300.0,1.95,106.77758974358974,10.001626280696051,10.29435680598471,6.991458399240738,0.0,False,False,False,True,True,100.0,True,87.57,腾讯前复权日K回退（成交额、换手率已提供）
25,002856,*ST美芝,E 建筑业,7.5,1320,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7%",放量（量比1.4-2.7）（-1分）；涨幅3.2-10.1%（-1分）,2026-08-04,15.2,14.575999999999999,14.538,True,18.99,-19.957872564507635,False,48.26940673932683,23.791251552937585,21.23399373254018,28.905767193732395,2026-07-29,4.0,2026-07-28,5.0,True,1.1593569346203219,122272500.0,6.4,19.105078125,-1.6817593790427021,6.015523932729622,4.553583711652215,49.46236559139777,False,False,False,True,True,22.58064516129023,False,28.34,腾讯前复权日K回退（成交额、换手率已提供）
26,000601,韶能股份,D 水电煤气,7.5,163,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7%",放量（量比1.4-2.7）（-1分）；涨幅3.2-10.1%（-1分）,2026-08-04,6.64,6.446000000000001,6.465000000000001,True,7.12,-6.741573033707871,False,51.035480185810535,18.372522723864922,17.6082139888782,19.901140193838366,,,2026-08-04,0.0,True,1.1370624998977183,367947600.0,5.3,69.42407547169812,1.5290519877675823,2.1406727828746126,2.7068832173240356,28.571428571428665,False,False,False,False,False,71.42857142857135,True,9.89,腾讯前复权日K回退（成交额、换手率已提供）
27,002929,润建股份,I 信息技术,7.5,1387,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）；换手率5.2-7%（-1分）,2026-08-04,54.01,48.39,52.763999999999996,True,64.62,-16.419065304859185,False,48.885926302630125,11.69225401284047,9.455247522304026,16.166266993913357,,,2026-08-04,0.0,True,1.0882131874684198,809775200.0,7.18,112.78206128133705,9.999999999999986,7.9429735234215855,2.3614585702372874,0.0,True,False,False,True,True,100.0,True,100.03,腾讯前复权日K回退（成交额、换手率已提供）
28,002169,智光电气,C 制造业,7.5,690,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）；换手率5.2-7%（-1分）,2026-08-04,11.78,11.075999999999999,11.623999999999999,True,14.14,-16.6902404526167,False,46.678990386059716,14.837135371612336,12.159971480373928,20.191463154089153,2026-07-31,2.0,2026-07-31,2.0,True,1.0593933314434,281561200.0,3.2,87.987875,4.06360424028267,4.063604240282677,1.342050929112187,0.0,False,False,False,True,False,100.0,True,19.78,腾讯前复权日K回退（成交额、换手率已提供）
29,002657,中科金财,I 信息技术,7.5,1146,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7%",放量（量比1.4-2.7）（-1分）；涨幅3.2-10.1%（-1分）,2026-08-04,15.79,15.272,14.6965,True,18.7,-15.561497326203211,False,48.29606112223071,21.093578700603494,16.346876139962077,30.586983821886328,2026-07-29,4.0,2026-07-27,6.0,True,1.003822261686073,350804400.0,6.65,52.75254135338346,2.799479166666674,4.296875000000002,7.440547069030033,25.757575757576014,True,False,False,True,False,74.242424242424,True,23.98,腾讯前复权日K回退（成交额、换手率已提供）
