序号,股票代码,股票名称,所属行业,数据来源,缓存命中,数据日期,收盘价,MA5,MA20,站上MA5,站上MA20,MA5高于MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,MACD_DIF,MACD_DEA,MACD柱,MACD多头,MACD空头,MACD金叉,MACD死叉,最近MACD金叉日期,最近MACD金叉距今交易日数,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",KDJ金叉,KDJ死叉,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,当日成交量,5日均量,量比,放量,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,收盘日内位置（%）,收盘位于日内高位,60日最高价,触及60日高点压力,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线
1,000001,平安银行,J 金融业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-04,11.44,11.516,11.0015,False,True,True,True,11.66,-1.8867924528301943,False,65.67974095141683,0.2512232751657617,0.18529206817669017,0.13186241397814308,True,False,False,False,2026-07-08,19.0,92.94361226632348,91.89244385520787,95.04594908855469,False,False,,,False,1221130.0,1687120.6,0.7237953232270413,False,1401213599.9999998,0.63,2224.148571428571,-1.5490533562822706,1.721170395869185,3.9858201154387984,19.999999999999645,9.999999999999822,False,11.66,True,False,False,False,False,False
2,000002,万 科Ａ,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-04,3.26,3.314,3.1595,False,True,True,True,3.4,-4.117647058823533,False,54.55055443308089,0.040287785269053966,0.011626366825024447,0.05732283688805904,True,False,False,False,,,30.22087089852295,26.0068876570023,38.648837381564256,False,False,2026-07-27,6.0,True,1768651.0,1604263.0,1.102469482871574,False,578989500.0,1.82,318.1260989010989,-2.9761904761904767,3.5714285714285614,3.1808830511156767,16.66666666666673,16.66666666666636,False,4.16,False,False,False,False,False,False
3,000006,深振业Ａ,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-04,6.7,6.544,6.414500000000001,True,True,True,True,7.39,-9.336941813261157,False,48.94066782307865,-0.2500541756253227,-0.3801235939739181,0.26013883669719073,True,False,False,False,2026-07-27,6.0,17.030744374763717,14.499490610234167,22.09325190382282,False,False,2026-07-21,10.0,True,178472.0,248075.2,0.719427012454288,False,119080500.0,1.32,90.2125,1.2084592145015227,2.4169184290030232,4.45085353495984,25.0,75.0,True,11.25,False,False,False,False,False,False
4,000007,全新好,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-04,9.28,9.108,9.6235,True,False,False,True,13.5,-31.259259259259263,False,38.27520222320858,-0.7643975648512864,-0.852152215498948,0.17550930129532327,True,False,False,False,2026-07-31,2.0,10.464589402820637,9.757371223977634,11.879025760506646,False,False,2026-07-31,2.0,True,84192.0,85176.2,0.9884451290383934,False,78051800.0,2.43,32.12008230452675,1.1995637949836269,2.508178844056692,-3.5693874370031757,39.130434782608866,60.86956521739114,False,17.19,False,True,False,False,True,False
5,000008,神州高铁,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-04,2.44,2.394,2.368,True,True,True,True,2.86,-14.685314685314681,False,54.09559344953099,-0.01760093265013918,-0.037782557883444236,0.040363250466610115,True,False,False,False,2026-07-28,5.0,16.124379606741154,13.881759644596912,20.609619531029637,False,False,2026-07-28,5.0,True,353952.0,304962.8,1.160639920672292,False,86745600.0,1.3,66.72738461538462,0.0,3.688524590163929,3.0405405405405435,44.44444444444406,22.22222222222228,False,2.87,False,False,False,False,False,False
6,000009,中国宝安,J 金融业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-04,7.91,7.462000000000001,6.472499999999999,True,True,True,True,8.15,-2.944785276073622,False,77.3909874901587,0.25082524220530544,0.0013202586101786276,0.49900996719025364,True,False,False,False,,,46.456298297886725,32.726863670370044,73.9151675529201,False,False,2026-07-27,6.0,True,851746.0,749162.8,1.136930450897989,False,671777800.0,3.31,202.9540181268882,0.3807106598984866,3.1725888324873095,22.209347238315967,32.00000000000003,67.99999999999997,False,8.67,False,False,False,False,False,True
7,000010,*ST美丽,E 建筑业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-04,1.61,1.576,1.616,True,False,False,True,1.89,-14.814814814814806,False,45.167060226841144,-0.10010549602985153,-0.13113678941177268,0.0620625867638423,True,False,False,False,2026-07-29,4.0,5.7976617633834095,4.418080443797547,8.556824402555135,False,False,2026-07-28,5.0,True,242089.0,205504.2,1.1780245853856028,False,39275000.0,2.77,14.178700361010831,-3.0120481927710774,5.421686746987944,-0.37128712871287156,22.22222222222228,22.22222222222228,False,2.86,False,False,False,False,True,False
8,000011,深物业A,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-04,8.0,7.938,7.147,True,True,True,True,9.09,-11.99119911991199,False,63.59341075822572,0.30279553856605634,0.18211439381936648,0.24136228949337973,True,False,False,False,2026-07-15,14.0,59.26845131344345,54.467507941688005,68.87033805695434,False,False,,,False,136747.0,303077.4,0.4511949752769424,False,110299000.0,2.6,42.42269230769231,0.7556675062972307,2.896725440806039,11.93507765496012,82.60869565217386,17.391304347826136,False,9.09,False,True,False,False,True,False
9,000012,南 玻Ａ,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-04,3.95,3.936,3.9035,True,True,True,True,4.56,-13.37719298245613,False,46.32287925965409,-0.11147219316412604,-0.13995139695852524,0.05695840758879839,True,False,False,False,2026-07-30,3.0,18.085473374831576,16.19856459737415,21.85929092974642,False,False,2026-07-29,4.0,True,236419.0,260871.2,0.9062671540591678,False,93655200.0,1.21,77.40099173553719,-0.5037783375314908,1.5113350125944598,1.1912386319969255,49.99999999999963,16.666666666667037,False,5.41,False,False,False,False,False,False
10,000014,沙河股份,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-04,10.1,10.056000000000001,9.334,True,True,True,True,10.5,-3.809523809523813,False,58.25836638362784,0.07495298817021201,-0.10936485398519627,0.36863568431081656,True,False,False,False,,,22.77294391633805,19.32771661431757,29.663398520379012,False,False,2026-07-27,6.0,True,58011.0,102903.8,0.5637401145535927,False,58793000.0,2.4,24.497083333333336,-0.8832188420019649,2.3552502453385693,8.206556674523249,0.0,25.000000000000185,False,13.32,False,False,False,False,True,False
