序号,股票代码,股票名称,失败原因
430,001220,世盟股份,东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 121 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 121 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 121 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 121 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 121 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 121 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 121 根有效日线，少于 150 根。；第 2 次：仅返回 121 根有效日线，少于 150 根。；第 3 次：仅返回 121 根有效日线，少于 150 根。
451,001257,盛龙股份,东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 87 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 87 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 87 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 87 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 87 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 87 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 87 根有效日线，少于 150 根。；第 2 次：仅返回 87 根有效日线，少于 150 根。；第 3 次：仅返回 87 根有效日线，少于 150 根。
480,001312,福恩股份,东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 73 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 73 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 73 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 73 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 73 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 73 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 73 根有效日线，少于 150 根。；第 2 次：仅返回 73 根有效日线，少于 150 根。；第 3 次：仅返回 73 根有效日线，少于 150 根。
510,001369,双欣材料,东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 144 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 144 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 144 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 144 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 144 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 144 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 144 根有效日线，少于 150 根。；第 2 次：仅返回 144 根有效日线，少于 150 根。；第 3 次：仅返回 144 根有效日线，少于 150 根。
525,001396,誉帆科技,东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 144 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 144 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 144 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 144 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 144 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 144 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 144 根有效日线，少于 150 根。；第 2 次：仅返回 144 根有效日线，少于 150 根。；第 3 次：仅返回 144 根有效日线，少于 150 根。
