序号,股票代码,股票名称,所属行业,数据来源,缓存命中,数据日期,收盘价,MA5,MA20,站上MA5,站上MA20,MA5高于MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,MACD_DIF,MACD_DEA,MACD柱,MACD多头,MACD空头,MACD金叉,MACD死叉,最近MACD金叉日期,最近MACD金叉距今交易日数,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",KDJ金叉,KDJ死叉,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,当日成交量,5日均量,量比,放量,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,收盘日内位置（%）,收盘位于日内高位,60日最高价,触及60日高点压力,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线
1,000001,平安银行,J 金融业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-05,11.25,11.51,11.034,False,True,True,False,11.66,-3.516295025728989,False,57.78168774328873,0.23129380419391943,0.1944936468956855,0.07360031459646788,True,False,False,False,2026-07-08,20.0,87.11210877630064,90.29899882785709,80.73832867318774,False,True,,,False,1511510.0,1719144.4,0.8792222456705789,False,1703942500.0,0.78,2184.5416666666665,-1.660839160839156,2.7972027972028,1.9575856443719348,28.124999999999932,21.87500000000007,False,11.66,False,False,False,False,False,False
2,000002,万 科Ａ,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-05,3.28,3.314,3.1734999999999998,False,True,True,False,3.4,-3.529411764705886,False,55.70979324302617,0.04125841337909275,0.017552406681171383,0.047412013395842736,True,False,False,False,,,30.56391393246842,27.525896417966617,36.63994896147202,False,False,2026-07-27,7.0,True,1002437.0,1775684.2,0.5645356308289503,False,326826500.0,1.03,317.30728155339807,0.6134969325153339,1.2269938650306624,3.3559161808728546,0.0,100.0,True,4.16,False,False,False,False,False,False
3,000006,深振业Ａ,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-05,6.79,6.6,6.415000000000001,True,True,True,True,7.39,-8.119079837618399,False,51.01439101796615,-0.2060099230113286,-0.3453008597814242,0.27858187354019126,True,False,False,False,2026-07-27,7.0,18.467292252153744,15.822091156707986,23.757694443045263,False,False,,,False,161646.0,217708.4,0.7424885764628283,False,109014599.99999999,1.2,90.84549999999999,1.3432835820895495,2.0895522388059655,5.845674201091178,7.1428571428570065,92.85714285714299,True,11.25,False,False,False,False,False,False
4,000007,全新好,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-05,9.55,9.186,9.541,True,True,False,True,11.88,-19.612794612794612,False,42.34777637381963,-0.6927081064152532,-0.8202636399853349,0.2551110671401635,True,False,False,False,2026-07-31,3.0,11.81733346063272,10.444025299372733,14.563949783152694,False,False,2026-07-31,3.0,True,107024.0,88033.4,1.215720397031127,False,102049599.99999999,3.09,33.02576051779935,2.9094827586207073,5.387931034482759,0.09432973482863788,45.99999999999973,54.00000000000027,False,16.65,False,True,False,False,True,False
5,000008,神州高铁,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-05,2.42,2.404,2.3695,True,True,True,True,2.86,-15.384615384615383,False,52.211274599003396,-0.012666657729343722,-0.03275962415573546,0.040185932852783476,True,False,False,False,2026-07-28,6.0,16.577092232159583,14.780203843750535,20.170869008977675,False,False,2026-07-28,6.0,True,287508.0,310662.0,0.9254688375147266,False,69786600.0,1.06,65.83641509433961,-0.8196721311475419,1.6393442622950833,2.1312513188436375,25.000000000000554,24.999999999999446,False,2.87,False,False,False,False,False,False
6,000009,中国宝安,J 金融业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-05,7.64,7.69,6.5465,False,True,True,True,8.15,-6.25766871165645,False,68.8075579455838,0.285226170414119,0.05810033260695822,0.4542516756143216,True,False,False,False,,,47.785024824119525,37.74625072491927,67.86257302252004,False,False,2026-07-27,7.0,True,686040.0,875251.4,0.7838205114553373,False,527018800.0,2.66,198.12736842105264,-3.4134007585335024,3.792667509481678,16.703582066753224,16.666666666666863,13.333333333333314,False,8.58,False,False,False,False,False,False
7,000010,*ST美丽,E 建筑业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-05,1.57,1.5859999999999999,1.6019999999999999,False,False,False,True,1.89,-16.931216931216923,False,43.06530092003783,-0.09347544908905303,-0.12360710752991512,0.06026331688172418,True,False,False,False,2026-07-29,5.0,5.704934682283908,4.847031860789858,7.420740325272007,False,False,2026-07-28,6.0,True,391782.0,212868.0,1.8404926997012232,True,61782400.0,4.27,14.468946135831382,-2.4844720496894457,6.211180124223594,-1.997503121098615,29.999999999999844,30.000000000000064,False,2.86,False,False,False,False,False,False
8,000011,深物业A,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-05,8.13,8.0,7.237,True,True,True,True,9.09,-10.561056105610552,False,65.41313295860314,0.3194728506088067,0.20958719354125693,0.21977131413509954,True,False,False,False,2026-07-15,15.0,61.849070635227825,56.92802884260701,71.69115422046944,False,False,,,False,102750.0,238369.2,0.4310540120116189,False,83064300.0,1.95,42.597076923076926,1.6250000000000098,2.8749999999999942,12.339367141080567,30.434782608695066,69.56521739130494,False,9.09,False,False,False,False,True,False
9,000012,南 玻Ａ,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-05,3.96,3.9480000000000004,3.8935000000000004,True,True,True,True,4.32,-8.33333333333334,False,46.75705879245212,-0.10016632916837853,-0.13199450655204736,0.06365635476733766,True,False,False,False,2026-07-30,4.0,18.68681650422023,17.02798190355948,22.004485705541725,False,False,2026-07-29,5.0,True,282397.0,266595.0,1.059273429734241,False,111035900.0,1.44,77.1082638888889,0.25316455696202667,1.7721518987341842,1.7079748298446014,14.285714285714556,85.71428571428544,True,5.41,False,False,False,False,False,False
10,000014,沙河股份,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-05,10.13,10.084,9.394499999999999,True,True,True,True,10.5,-3.5238095238095166,False,58.677926851778366,0.10546311358646143,-0.06639950677399516,0.34372524072091315,True,False,False,False,,,23.54977870296427,20.735070646309527,29.179194816273757,False,False,2026-07-27,7.0,True,56201.0,91951.6,0.6112019801721775,False,56737000.0,2.32,24.455603448275863,0.2970297029702973,1.7821782178217795,7.829048911597232,33.333333333332675,66.66666666666733,False,13.32,False,False,False,False,True,False
