序号,股票代码,股票名称,得分,满足条件,未满足条件（扣分项）,数据日期,收盘价,MA5,MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",最近MACD金叉日期,最近MACD金叉距今交易日数,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,量比,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线,收盘日内位置（%）,收盘位于日内高位,60日最高价,数据来源
38,000060,中金岭南,9.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7%；涨幅3.2-10.1%",无,2026-08-05,6.71,6.409999999999999,6.29,True,6.83,-1.756954612005858,False,53.063292357765974,21.625189039593252,19.229315044672585,26.416937029434585,2026-07-27,7.0,2026-08-04,1.0,True,2.631381098782003,1690438400.0,5.81,290.9532530120482,4.031007751937987,8.527131782945734,6.6772655007949115,16.363636363636346,False,False,False,False,False,83.63636363636365,True,8.86,腾讯前复权日K回退（成交额、换手率已提供）
889,002378,章源钨业,9.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7%；涨幅3.2-10.1%",无,2026-08-05,25.21,22.951999999999998,23.889,True,29.3,-13.959044368600681,False,48.70164559729492,16.020341917249997,12.212083331683132,23.63685908838373,2026-08-03,2.0,2026-08-03,2.0,True,2.0471380044615697,1592285000.0,5.41,294.32255083179297,7.551194539249151,8.831058020477817,5.529741722131531,7.729468599033821,False,False,False,False,False,92.27053140096618,True,40.68,腾讯前复权日K回退（成交额、换手率已提供）
604,002076,星光股份,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7%",涨幅3.2-10.1%（-1分）,2026-08-05,2.08,1.988,1.9535,True,2.23,-6.7264573991031344,False,52.02805119033629,24.380190749913073,19.149229955762483,34.84211233821426,2026-07-29,5.0,2026-07-28,6.0,True,2.1368614650230136,122099000.0,5.59,21.842397137745976,1.4634146341463428,5.365853658536601,6.475556693114924,72.72727272727259,False,False,False,True,False,27.27272727272742,False,2.83,腾讯前复权日K回退（成交额、换手率已提供）
168,000609,*ST中迪,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-05,10.4,9.502,10.0665,True,12.79,-18.686473807662228,False,50.180334345436314,19.16653549606039,15.72168780324042,26.056230881700333,2026-08-04,1.0,2026-08-04,1.0,True,2.067000031648574,135935700.0,4.49,30.275211581291757,4.312938816449341,8.726178535606811,3.312968757760898,54.02298850574705,False,False,False,True,True,45.977011494252956,False,16.21,腾讯前复权日K回退（成交额、换手率已提供）
308,000831,中国稀土,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-05,51.6,48.952,47.864999999999995,True,50.61,1.9561351511559018,True,55.848667806349624,21.799181385900766,17.589713712594,30.218116732514297,2026-07-23,9.0,2026-08-03,2.0,True,2.0061546452118084,2072985200.0,3.83,541.2493994778068,4.9633848657445245,3.8039056143205956,7.803196490128501,20.855614973262014,False,False,False,False,False,79.14438502673798,True,66.85,腾讯前复权日K回退（成交额、换手率已提供）
309,000833,粤桂股份,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7%",涨幅3.2-10.1%（-1分）,2026-08-05,20.35,19.456,19.657999999999998,True,22.79,-10.706450197455014,False,48.651480033848685,14.377878293219021,12.15669042744598,18.820254024765106,2026-07-27,7.0,2026-08-03,2.0,True,1.4530129692832765,533291300.0,5.86,91.00534129692834,2.9337379868487723,3.591299949418297,3.520195340319482,7.042253521126388,False,False,False,False,False,92.95774647887362,True,29.8,腾讯前复权日K回退（成交额、换手率已提供）
671,002149,西部材料,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-05,38.06,34.504000000000005,35.335499999999996,True,46.77,-18.623048963010476,False,48.14229401108034,13.794140341976373,10.637541659225574,20.10733770747797,2026-07-28,6.0,2026-07-31,3.0,True,1.4499362728602587,1875958200.0,10.22,183.55755381604695,6.31284916201118,9.776536312849164,7.710376250512958,32.57142857142859,False,False,False,False,False,67.42857142857142,False,78.77,腾讯前复权日K回退（成交额、换手率已提供）
1194,002709,天赐材料,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7%；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）,2026-08-05,39.05,36.70399999999999,37.07899999999999,True,49.07,-20.419808436926846,False,46.6357606669184,14.600795331345461,12.632784093775882,18.53681780648462,2026-07-28,6.0,2026-08-04,1.0,True,1.3113986467171053,3127338500.0,5.37,582.3721601489758,5.227701428186471,5.254648342764761,5.3156773375765365,1.0256410256411845,False,False,False,True,False,98.97435897435881,True,60.4,腾讯前复权日K回退（成交额、换手率已提供）
459,001270,铖昌科技,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7%；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）,2026-08-05,114.42,100.22,113.1445,True,180.64,-36.6585473870682,False,49.37204479367519,17.683195529487477,12.822489858472837,27.40460687151676,,,2026-08-04,1.0,True,1.2624527420739424,1474708299.9999998,6.36,231.8723742138364,7.770556654422145,10.473768484505985,1.1273194896791343,21.3129496402878,False,False,False,False,False,78.6870503597122,True,180.64,腾讯前复权日K回退（成交额、换手率已提供）
1125,002635,安洁科技,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7%；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）,2026-08-05,14.65,13.687999999999999,14.260500000000002,True,19.93,-26.49272453587556,False,47.36883911733448,14.928157964705315,12.255192039637082,20.274089814841783,2026-08-04,1.0,2026-08-04,1.0,True,0.8958095515284829,354885100.0,6.19,57.33200323101777,4.12224591329069,6.751954513148551,2.7313207811787676,25.26315789473684,False,False,False,False,False,74.73684210526316,True,24.74,腾讯前复权日K回退（成交额、换手率已提供）
