评分排名,股票代码,股票名称,所属行业,得分,序号,满足条件,未满足条件（扣分项）,数据日期,收盘价,MA5,MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",最近MACD金叉日期,最近MACD金叉距今交易日数,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,量比,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线,收盘日内位置（%）,收盘位于日内高位,60日最高价,数据来源
1,000060,中金岭南,C 制造业,9.5,38,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7%；涨幅3.2-10.1%",无,2026-08-05,6.71,6.409999999999999,6.29,True,6.83,-1.756954612005858,False,53.063292357765974,21.625189039593252,19.229315044672585,26.416937029434585,2026-07-27,7.0,2026-08-04,1.0,True,2.631381098782003,1690438400.0,5.81,290.9532530120482,4.031007751937987,8.527131782945734,6.6772655007949115,16.363636363636346,False,False,False,False,False,83.63636363636365,True,8.86,腾讯前复权日K回退（成交额、换手率已提供）
2,002378,章源钨业,C 制造业,9.5,889,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7%；涨幅3.2-10.1%",无,2026-08-05,25.21,22.951999999999998,23.889,True,29.3,-13.959044368600681,False,48.70164559729492,16.020341917249997,12.212083331683132,23.63685908838373,2026-08-03,2.0,2026-08-03,2.0,True,2.0471380044615697,1592285000.0,5.41,294.32255083179297,7.551194539249151,8.831058020477817,5.529741722131531,7.729468599033821,False,False,False,False,False,92.27053140096618,True,40.68,腾讯前复权日K回退（成交额、换手率已提供）
3,002076,星光股份,C 制造业,8.5,604,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7%",涨幅3.2-10.1%（-1分）,2026-08-05,2.08,1.988,1.9535,True,2.23,-6.7264573991031344,False,52.02805119033629,24.380190749913073,19.149229955762483,34.84211233821426,2026-07-29,5.0,2026-07-28,6.0,True,2.1368614650230136,122099000.0,5.59,21.842397137745976,1.4634146341463428,5.365853658536601,6.475556693114924,72.72727272727259,False,False,False,True,False,27.27272727272742,False,2.83,腾讯前复权日K回退（成交额、换手率已提供）
4,000609,*ST中迪,S 综合,8.5,168,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-05,10.4,9.502,10.0665,True,12.79,-18.686473807662228,False,50.180334345436314,19.16653549606039,15.72168780324042,26.056230881700333,2026-08-04,1.0,2026-08-04,1.0,True,2.067000031648574,135935700.0,4.49,30.275211581291757,4.312938816449341,8.726178535606811,3.312968757760898,54.02298850574705,False,False,False,True,True,45.977011494252956,False,16.21,腾讯前复权日K回退（成交额、换手率已提供）
5,000831,中国稀土,C 制造业,8.5,308,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-05,51.6,48.952,47.864999999999995,True,50.61,1.9561351511559018,True,55.848667806349624,21.799181385900766,17.589713712594,30.218116732514297,2026-07-23,9.0,2026-08-03,2.0,True,2.0061546452118084,2072985200.0,3.83,541.2493994778068,4.9633848657445245,3.8039056143205956,7.803196490128501,20.855614973262014,False,False,False,False,False,79.14438502673798,True,66.85,腾讯前复权日K回退（成交额、换手率已提供）
6,000712,锦龙股份,J 金融业,8.5,229,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7%；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）",2026-08-05,9.81,9.024000000000001,8.578999999999999,True,9.19,6.74646354733407,True,66.52617235958093,25.080136018782596,17.537924408829994,40.1645592386878,2026-07-20,12.0,2026-07-30,4.0,True,1.9629094725879155,458910800.0,5.39,85.14115027829314,9.977578475336335,9.753363228699563,14.348991723977175,0.0,False,False,False,False,True,100.0,True,12.26,腾讯前复权日K回退（成交额、换手率已提供）
7,002929,润建股份,I 信息技术,8.5,1388,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-05,57.77,50.492000000000004,52.7485,True,64.62,-10.600433302383165,False,54.192972598685635,16.36693420956586,11.759143080561111,25.582516467575356,2026-08-04,1.0,2026-08-04,1.0,True,1.7598879736408566,1525078100.0,12.33,123.6884103811841,6.9616737641177595,5.7767080170338785,9.51970198204689,14.423076923076797,True,False,False,True,True,85.57692307692321,True,100.03,腾讯前复权日K回退（成交额、换手率已提供）
8,001326,联域股份,C 制造业,8.5,491,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-05,54.68,48.074,48.7115,True,58.18,-6.015812994156067,False,55.671781274736276,24.457112409145612,16.770157028417053,39.831023170602734,2026-08-03,2.0,2026-08-03,2.0,True,1.4871836980471047,117406700.0,9.05,12.973116022099447,5.845915602013174,5.478126209833538,12.25275345657596,12.014134275618472,False,False,False,False,True,87.98586572438153,True,75.5,腾讯前复权日K回退（成交额、换手率已提供）
9,002842,翔鹭钨业,C 制造业,8.5,1309,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-05,34.56,30.784000000000002,32.451499999999996,True,38.88,-11.11111111111111,False,50.94612385961966,19.06667689282279,15.541172197773937,26.1176862829205,,,2026-08-04,1.0,True,1.4698299173156955,1348349000.0,15.14,89.05871862615587,9.993634627625724,10.948440483768303,6.4973884103970745,0.0,True,False,False,False,True,100.0,True,54.44,腾讯前复权日K回退（成交额、换手率已提供）
10,000833,粤桂股份,S 综合,8.5,309,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7%",涨幅3.2-10.1%（-1分）,2026-08-05,20.35,19.456,19.657999999999998,True,22.79,-10.706450197455014,False,48.651480033848685,14.377878293219021,12.15669042744598,18.820254024765106,2026-07-27,7.0,2026-08-03,2.0,True,1.4530129692832765,533291300.0,5.86,91.00534129692834,2.9337379868487723,3.591299949418297,3.520195340319482,7.042253521126388,False,False,False,False,False,92.95774647887362,True,29.8,腾讯前复权日K回退（成交额、换手率已提供）
