评分排名,股票代码,股票名称,所属行业,得分,序号,满足条件,未满足条件（扣分项）,数据日期,收盘价,MA5,MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",最近MACD金叉日期,最近MACD金叉距今交易日数,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,量比,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线,收盘日内位置（%）,收盘位于日内高位,60日最高价,数据来源
1,000818,航锦科技,C 制造业,9.5,297,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",无,2026-08-03,13.4,12.548,13.01,True,16.95,-20.943952802359878,False,52.35116755734753,10.486126362944828,8.234171435029571,14.99003621877534,,,2026-07-31,1.0,True,2.5568831460089188,677750399.9999999,7.76,87.33896907216494,6.858054226475296,9.968102073365232,2.997694081475792,31.199999999999907,False,False,False,True,False,68.8000000000001,False,19.64,腾讯前复权日K回退（成交额、换手率已提供）
2,002031,巨轮智能,C 制造业,9.5,560,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",无,2026-08-03,5.21,4.848000000000001,4.9885,True,6.18,-15.695792880258896,False,51.22780850186913,12.323892870456964,8.965435107944126,19.04080839548264,2026-07-29,3.0,2026-07-27,5.0,True,2.42396012581305,773658000.0,7.74,99.95581395348837,6.326530612244885,9.999999999999986,4.440212488724062,36.73469387755101,True,False,False,False,False,63.26530612244898,False,8.8,腾讯前复权日K回退（成交额、换手率已提供）
3,002015,协鑫能科,D 水电煤气,9.5,545,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",无,2026-08-03,15.66,14.540000000000001,14.4585,True,16.89,-7.2824156305506245,False,51.8203045942399,15.17135287727873,12.84540304533344,19.823252541169314,2026-07-21,9.0,2026-07-31,1.0,True,1.5072341250178418,1615583900.0000002,6.4,252.43498437500003,3.8461538461538547,4.177718832891252,8.309990662931835,26.984126984126938,False,False,False,False,True,73.01587301587305,True,25.53,腾讯前复权日K回退（成交额、换手率已提供）
4,002637,赞宇科技,C 制造业,8.5,1126,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）,2026-08-03,10.44,9.796000000000001,9.926,True,11.19,-6.702412868632708,False,53.86141355294265,19.485090915905833,13.266349866841068,31.922573014035365,2026-07-29,3.0,2026-07-27,5.0,True,3.285112834713747,271246900.0,5.64,48.0934219858156,7.739938080495357,9.391124871001034,5.178319564779361,24.175824175824243,True,False,False,False,False,75.82417582417575,True,13.39,腾讯前复权日K回退（成交额、换手率已提供）
5,000777,中核科技,C 制造业,8.5,267,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）",2026-08-03,18.4,17.384,16.775,True,18.83,-2.283590015932022,False,60.111015237566164,25.802248740175287,19.53928548057282,38.328175259380224,2026-07-24,6.0,2026-07-24,6.0,True,2.4954868321171997,515150899.99999994,7.39,69.70918809201623,7.03897614892377,9.714950552646897,9.687034277198213,30.538922155688685,False,False,False,True,False,69.46107784431132,False,21.75,腾讯前复权日K回退（成交额、换手率已提供）
6,002553,南方精工,C 制造业,8.5,1047,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）",2026-08-03,16.51,15.368,14.9745,True,17.46,-5.441008018327602,False,58.64788745378026,14.614712078968443,10.062508907857652,23.719118421190025,2026-07-23,7.0,2026-07-27,5.0,True,1.7538546392316063,228436200.0,5.51,41.45847549909256,4.758883248730972,7.106598984771568,10.254098634345057,8.928571428571244,False,False,False,True,False,91.07142857142875,True,23.48,腾讯前复权日K回退（成交额、换手率已提供）
7,003007,直真科技,I 信息技术,8.5,1459,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7.9%（-1分）,2026-08-03,35.37,33.438,34.804,True,42.2,-16.18483412322276,False,48.76290204145329,13.903079478220098,11.572301747459585,18.564634939741122,2026-07-31,1.0,2026-07-31,1.0,True,1.6895336042934452,104935600.0,4.15,25.28568674698795,4.893238434163694,6.909845788849343,1.6262498563383385,29.184549356223183,False,False,False,False,False,70.81545064377681,True,56.97,腾讯前复权日K回退（成交额、换手率已提供）
8,001223,欧克科技,C 制造业,8.5,433,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7.9%（-1分）,2026-08-03,36.17,32.268,32.5865,True,43.59,-17.02225281027759,False,52.27567135031794,24.27208190527337,18.11132450053858,36.59359671474296,2026-07-29,3.0,2026-07-27,5.0,True,1.519693800347145,120417200.0,4.89,24.62519427402863,10.006082725060828,9.397810218978112,10.996885213201788,0.0,False,False,False,False,True,100.0,True,54.99,腾讯前复权日K回退（成交额、换手率已提供）
9,002681,奋达科技,C 制造业,8.5,1168,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7.9%（-1分）,2026-08-03,4.76,4.378,4.5235,True,5.26,-9.505703422053232,False,54.66366749910233,23.1775158328736,17.289560269243875,34.95342696013305,,,2026-07-31,1.0,True,1.5059958500392823,311920300.0,4.3,72.53960465116279,9.930715935334877,10.161662817551951,5.228252459378788,0.0,False,False,False,True,True,100.0,True,5.96,腾讯前复权日K回退（成交额、换手率已提供）
10,002780,三夫户外,F 批发零售,8.5,1253,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）,2026-08-03,13.25,12.774,12.4905,True,13.78,-3.8461538461538414,False,55.95921475969662,25.353066231629583,20.889682564237667,34.279833566413416,2026-07-28,4.0,2026-07-27,5.0,True,1.2295157381168937,122528900.0,7.16,17.112974860335196,4.00313971742543,4.238618524332803,6.08062127216684,7.407407407407261,False,False,False,False,False,92.59259259259274,True,17.42,腾讯前复权日K回退（成交额、换手率已提供）
