序号,股票代码,股票名称,得分,满足条件,未满足条件（扣分项）,数据日期,收盘价,MA5,MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",最近MACD金叉日期,最近MACD金叉距今交易日数,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,量比,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线,收盘日内位置（%）,收盘位于日内高位,60日最高价,数据来源
297,000818,航锦科技,9.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",无,2026-08-03,13.4,12.548,13.01,True,16.95,-20.943952802359878,False,52.35116755734753,10.486126362944828,8.234171435029571,14.99003621877534,,,2026-07-31,1.0,True,2.5568831460089188,677750399.9999999,7.76,87.33896907216494,6.858054226475296,9.968102073365232,2.997694081475792,31.199999999999907,False,False,False,True,False,68.8000000000001,False,19.64,腾讯前复权日K回退（成交额、换手率已提供）
545,002015,协鑫能科,9.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",无,2026-08-03,15.66,14.540000000000001,14.4585,True,16.89,-7.2824156305506245,False,51.8203045942399,15.17135287727873,12.84540304533344,19.823252541169314,2026-07-21,9.0,2026-07-31,1.0,True,1.5072341250178418,1615583900.0000002,6.4,252.43498437500003,3.8461538461538547,4.177718832891252,8.309990662931835,26.984126984126938,False,False,False,False,True,73.01587301587305,True,25.53,腾讯前复权日K回退（成交额、换手率已提供）
267,000777,中核科技,8.5,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）",2026-08-03,18.4,17.384,16.775,True,18.83,-2.283590015932022,False,60.111015237566164,25.802248740175287,19.53928548057282,38.328175259380224,2026-07-24,6.0,2026-07-24,6.0,True,2.4954868321171997,515150899.99999994,7.39,69.70918809201623,7.03897614892377,9.714950552646897,9.687034277198213,30.538922155688685,False,False,False,True,False,69.46107784431132,False,21.75,腾讯前复权日K回退（成交额、换手率已提供）
1459,003007,直真科技,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7.9%（-1分）,2026-08-03,35.37,33.438,34.804,True,42.2,-16.18483412322276,False,48.76290204145329,13.903079478220098,11.572301747459585,18.564634939741122,2026-07-31,1.0,2026-07-31,1.0,True,1.6895336042934452,104935600.0,4.15,25.28568674698795,4.893238434163694,6.909845788849343,1.6262498563383385,29.184549356223183,False,False,False,False,False,70.81545064377681,True,56.97,腾讯前复权日K回退（成交额、换手率已提供）
1168,002681,奋达科技,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7.9%（-1分）,2026-08-03,4.76,4.378,4.5235,True,5.26,-9.505703422053232,False,54.66366749910233,23.1775158328736,17.289560269243875,34.95342696013305,,,2026-07-31,1.0,True,1.5059958500392823,311920300.0,4.3,72.53960465116279,9.930715935334877,10.161662817551951,5.228252459378788,0.0,False,False,False,True,True,100.0,True,5.96,腾讯前复权日K回退（成交额、换手率已提供）
1253,002780,三夫户外,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）,2026-08-03,13.25,12.774,12.4905,True,13.78,-3.8461538461538414,False,55.95921475969662,25.353066231629583,20.889682564237667,34.279833566413416,2026-07-28,4.0,2026-07-27,5.0,True,1.2295157381168937,122528900.0,7.16,17.112974860335196,4.00313971742543,4.238618524332803,6.08062127216684,7.407407407407261,False,False,False,False,False,92.59259259259274,True,17.42,腾讯前复权日K回退（成交额、换手率已提供）
1320,002856,*ST美芝,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）,2026-08-03,15.46,14.336000000000002,14.597500000000002,True,19.6,-21.122448979591837,False,49.40422822015774,22.34982375800439,19.955364822890736,27.1387416282317,2026-07-29,3.0,2026-07-28,4.0,True,1.116959667555739,110100300.0,6.12,17.990245098039214,10.035587188612105,12.669039145907481,5.908545983901345,0.0,False,False,False,True,True,100.0,True,28.34,腾讯前复权日K回退（成交额、换手率已提供）
337,000890,法尔胜,8.0,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",KDJ金叉距今0-6个交易日且状态良好（-1.5分）,2026-08-03,7.11,6.692,6.7495,True,8.02,-11.346633416458845,False,47.21204423784351,9.858735490246222,8.376821210555018,12.822564049628628,2026-07-22,8.0,2026-07-22,8.0,True,1.4605767242897505,160910600.0,5.46,29.47080586080586,5.646359583952454,6.09212481426449,5.341136380472628,12.195121951219464,False,False,False,False,False,87.80487804878054,True,14.89,腾讯前复权日K回退（成交额、换手率已提供）
60,000159,国际实业,7.5,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）；放量（量比1.4-2.7）（-1分）",2026-08-03,5.8,5.361999999999999,5.344,True,5.67,2.2927689594356244,True,59.90676824934799,21.370227553017163,14.854995751384868,34.40069115628175,2026-07-28,4.0,2026-07-28,4.0,True,3.154628431795314,148890800.0,5.48,27.169854014598535,8.41121495327104,8.785046728971958,8.532934131736518,2.127659574468041,False,False,False,False,True,97.87234042553196,True,7.38,腾讯前复权日K回退（成交额、换手率已提供）
1306,002840,华统股份,7.5,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）；换手率5.2-7.9%（-1分）",2026-08-03,8.11,7.656000000000001,7.602500000000001,True,8.38,-3.221957040572808,False,56.51400437325175,11.016284145622308,8.373316443537947,16.30221954979103,,,2026-07-29,3.0,True,2.046460057331386,276569700.0,4.27,64.77042154566746,5.46163849154746,8.58257477243172,6.675435711936842,39.39393939393941,False,False,False,True,False,60.606060606060595,False,13.3,腾讯前复权日K回退（成交额、换手率已提供）
